block_name,basin_name,basin_id,date_collection,CALCIUM(mg/L),PH.1,TEMPERATURE,TOTAL DISSOLVED SOLIDS(mg/L),TOTAL HARDNESS(mg/L),DISSOLVED OXYGEN(mg/L),BIOCHEMICAL OXYGEN DEMAND(mg/L),MAGNESIUM(mg/L)
SOMVARPET,Cauvery Basin,1,01-01-1982 00:00,8,8,25.09390284,72,36.6667,7.081272244,0.142378903,4
HOLENARSIPUR,Cauvery Basin,1,01-01-1982 00:00,15,8,24.29134113,74,58.3333,6.502796876,0.597331058,5
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-1982 00:00,20,8.2,23.61142289,168,108.333,6.151631128,1.231440546,14
MALVALLI,Cauvery Basin,1,01-01-1982 00:00,32,8.2,23.67243802,248,142.5,5.865230993,1.951342391,15
KOLLEGAL,Cauvery Basin,1,01-01-1982 00:00,22,7.8,23.93222596,150,96.6667,6.035103062,1.189939833,10
SOMVARPET,Cauvery Basin,1,01-01-1983 00:00,11,7.6,24.38509013,70,52.5,6.436247618,0.404017419,6
HOLENARSIPUR,Cauvery Basin,1,01-01-1983 00:00,14,7.9,27.11959408,260,64.1667,7.864801246,0.548160863,7
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-1983 00:00,16,7.7,25.65830643,220,81.6667,6.986640584,0.807405348,10
MALVALLI,Cauvery Basin,1,01-01-1983 00:00,22,7.8,25.79507826,320,117.5,6.95305606,1.331407358,15
KOLLEGAL,Cauvery Basin,1,01-01-1983 00:00,14,7.8,24.52706832,190,93.3333,6.540982544,0.867859872,14
MALVALLI,Cauvery Basin,1,01-01-1984 00:00,15.8,8.2,29.5800469,450,80.75,9.191595763,0.700598685,9.9
KOLLEGAL,Cauvery Basin,1,01-01-1984 00:00,15.9,7.7,24.89610172,160,76.4167,6.614201734,0.775121631,8.8
SOMVARPET,Cauvery Basin,1,01-01-1985 00:00,9.4,8.1,24.08845358,88,63.9167,6.608611233,0.456695547,9.7
HOLENARSIPUR,Cauvery Basin,1,01-01-1985 00:00,7.2,7.8,24.2918687,130,73,6.604598163,0.4559883,13.2
HUNSUR,Cauvery Basin,1,01-01-1985 00:00,6.4,7.4,27.24464682,260,56.8333,7.855088714,0.215427597,9.8
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-1985 00:00,11.9,7.5,25.99812949,310,103.5,7.157053925,0.850607875,17.7
MALVALLI,Cauvery Basin,1,01-01-1985 00:00,14.6,8,27.78362506,330,75.25,8.231190677,0.651969869,9.3
KOLLEGAL,Cauvery Basin,1,01-01-1985 00:00,14.3,7,25.06483472,165.6681862,73.6667,6.364594576,0.690467614,9.1
SOMVARPET,Cauvery Basin,1,01-01-1986 00:00,6,7.5,25.85053007,118,35.8333,7.232754989,0.047593102,5
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-1986 00:00,10,7.5,28.05427341,270,45.8333,8.209469109,0.224140599,5
MALVALLI,Cauvery Basin,1,01-01-1986 00:00,15,7.5,23.19830441,57,75,5.694793809,0.770898379,9
KOLLEGAL,Cauvery Basin,1,01-01-1986 00:00,13,7.5,26.19724157,200,61.6667,7.219348236,0.512679159,7
SOMVARPET,Cauvery Basin,1,01-01-1987 00:00,11,7.1,36.30805899,800,60.8333,12.01986339,0.19908195,8
HOLENARSIPUR,Cauvery Basin,1,01-01-1987 00:00,13,7.2,24.54146049,90,57.5,6.241367993,0.514375725,6
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-1987 00:00,27,7.7,23.25565691,280,159.167,5.523248304,1.935015191,22
MALVALLI,Cauvery Basin,1,01-01-1987 00:00,45,7.8,22.76701088,300,187.5,4.86010003,2.824839403,18
KOLLEGAL,Cauvery Basin,1,01-01-1987 00:00,31,7.7,22.95271608,200,140,5.264586969,1.911112294,15
HOLENARSIPUR,Cauvery Basin,1,01-01-1988 00:00,12,8.15,21,-60.38377938,34.05,6.508170437,0.238472276,0.972
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-1988 00:00,31,7.58,22.6,217.7530575,127.619,5.893467167,1.740006841,12.0285
MALVALLI,Cauvery Basin,1,01-01-1988 00:00,29,7.65,19.5,234.4312461,164.131,5.54839311,1.981860468,21.9915
KOLLEGAL,Cauvery Basin,1,01-01-1988 00:00,35,7.79,23,237.8713228,133.062,5.957766932,1.929204001,10.935
SOMVARPET,Cauvery Basin,1,01-01-1989 00:00,10,8.15,22.5,-16.13455456,33.1,6.765172081,0.167610576,1.944
HOLENARSIPUR,Cauvery Basin,1,01-01-1989 00:00,8,8.23,21.1,-54.5578321,32.6562,6.669567867,0.087715596,3.0375
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-1989 00:00,18,7.61,24,94.45205766,61.7062,6.458533179,0.707383111,4.0095
MALVALLI,Cauvery Basin,1,01-01-1989 00:00,17,7.65,19.5,75.87539126,100.719,5.879092583,0.999749103,13.9725
KOLLEGAL,Cauvery Basin,1,01-01-1989 00:00,17,7.95,24,53.35299815,46.55,6.675251204,0.537492048,0.972
SOMVARPET,Cauvery Basin,1,01-01-1990 00:00,12,8.2,23,56.25641087,54.8062,6.802188535,0.433008264,5.9535
HOLENARSIPUR,Cauvery Basin,1,01-01-1990 00:00,10,8.15,20,-52.88277794,45.7563,6.419587764,0.268849717,4.9815
HUNSUR,Cauvery Basin,1,01-01-1990 00:00,40.8,7.76,24,603.9440969,255.9,5.888866089,3.231119283,36.936
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-1990 00:00,68.8,7.97,27,547.4765194,222.119,5.699717899,3.915321947,12.0285
MALVALLI,Cauvery Basin,1,01-01-1990 00:00,49,8.07,25,512.3215246,218.181,5.994861868,3.183797185,22.9635
KOLLEGAL,Cauvery Basin,1,01-01-1990 00:00,36,8.1,26.5,357.5961938,140.119,6.57744686,2.043292674,12.0285
SOMVARPET,Cauvery Basin,1,01-01-1991 00:00,8.6,7.32,24.5,216.4462255,31.625,9.41,-1.519227742,2.43
HOLENARSIPUR,Cauvery Basin,1,01-01-1991 00:00,13.8,7.28,24,36.23771405,38.55,6.394029974,0.35502626,0.972
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-1991 00:00,9.4,7.73,25,308.1589887,113.106,7.25,0.660019259,21.5055
MALVALLI,Cauvery Basin,1,01-01-1991 00:00,36.2,7.97,26,384.6043133,158.338,6.27,2.309703784,16.281
KOLLEGAL,Cauvery Basin,1,01-01-1991 00:00,23.6,7.68,25,256.2889552,106.588,6.72,1.165461321,11.421
SOMVARPET,Cauvery Basin,1,01-01-1992 00:00,20.2,7.74,25.09633318,125.3560848,62.65,6.624739817,0.797098487,2.916
HOLENARSIPUR,Cauvery Basin,1,01-01-1992 00:00,18.6,7.85,26,148.5133621,60.675,6.847896385,0.728371555,3.402
HUNSUR,Cauvery Basin,1,01-01-1992 00:00,39.1,7.79,23.5,567.4822339,247.094,5.883759432,3.091245679,35.8425
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-1992 00:00,24.2,7.8,24,354.7228249,121.756,8,0.488025453,14.7015
MALVALLI,Cauvery Basin,1,01-01-1992 00:00,40.4,8.4,24,457.2149477,176.938,7.5,1.75232078,18.225
KOLLEGAL,Cauvery Basin,1,01-01-1992 00:00,29.8,7.47,21,247.2156549,113.481,7.5,0.406692724,9.3555
SOMVARPET,Cauvery Basin,1,01-01-1993 00:00,26,8.6,27,242.9871801,83.225,7.41,1.087390145,4.374
HOLENARSIPUR,Cauvery Basin,1,01-01-1993 00:00,29.9,7.6,22,108.6598056,94.4938,5.861421468,1.403480196,4.7385
HUNSUR,Cauvery Basin,1,01-01-1993 00:00,49,7.8,22.5,299.6586213,168.569,5.52132356,2.729480198,11.0565
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-1993 00:00,88,7.9,23,635.0102275,238.225,7.7,2.8002841,4.374
MALVALLI,Cauvery Basin,1,01-01-1993 00:00,30,8,25.5,250.7465842,108.919,6.551296992,1.552054822,8.1405
KOLLEGAL,Cauvery Basin,1,01-01-1993 00:00,44,7.9,25,398.6809461,125.188,8.3,0.84330107,3.645
SOMVARPET,Cauvery Basin,1,01-01-1994 00:00,23.6,8.2,22,115.5919256,114.688,5.73,0.6,13.365
HOLENARSIPUR,Cauvery Basin,1,01-01-1994 00:00,20.4,7.8,22,175.0797296,78.8438,7.75,-0.01442273,6.6825
HUNSUR,Cauvery Basin,1,01-01-1994 00:00,43.8,8,24.5,491.4689358,212.775,6.024543675,2.95280706,24.786
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-1994 00:00,36,7.6,24.5,158.3286904,109.744,5.41,1.3,4.7385
MALVALLI,Cauvery Basin,1,01-01-1994 00:00,42.4,7.5,22,785.1376795,217.375,10.57,1.48,26.73
SOMVARPET,Cauvery Basin,1,01-01-1995 00:00,20.4,7.6,21.5,193.1201836,78.8333,7.81,0.79,6.68
HOLENARSIPUR,Cauvery Basin,1,01-01-1995 00:00,34,7.8,19,111.3388486,128.538,5.58955295,1.28,10.449
HUNSUR,Cauvery Basin,1,01-01-1995 00:00,44,7,22,408.5395351,209.208,5.131803024,2.916134908,23.81
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-1995 00:00,44,7.3,22,617.0105975,212.083,8.29,1.87,24.5
MALVALLI,Cauvery Basin,1,01-01-1995 00:00,39.2,8.2,21.8,477.3258816,189.631,7.98,0.89,21.9915
KOLLEGAL,Cauvery Basin,1,01-01-1995 00:00,5.4,6.8,24.5,250.3180678,97.0312,6.7,0.431637282,20.0475
SOMVARPET,Cauvery Basin,1,01-01-1996 00:00,15.8,7.8,21.5,222.382654,70.8875,8.4,1.49,7.533
HOLENARSIPUR,Cauvery Basin,1,01-01-1996 00:00,55.8,7.67,23.5,491.6113466,209.869,6.91,0.49,16.8885
HUNSUR,Cauvery Basin,1,01-01-1996 00:00,36.2,8.25,22,333.9952587,178.081,6.027469526,2.367882639,21.0195
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-1996 00:00,31.4,7.26,23.5,631.5750825,153.931,10.33,0.98,18.1035
MALVALLI,Cauvery Basin,1,01-01-1996 00:00,44,8.29,23.5,599.7597067,217.325,8.27,0.89,25.758
KOLLEGAL,Cauvery Basin,1,01-01-1996 00:00,30.4,8.2,24.5,285.703393,108.906,7.71,0.3,7.8975
SOMVARPET,Cauvery Basin,1,01-01-1997 00:00,11,7.53,23,246.0570233,29.4744,9.78,0.99,0.47385
HOLENARSIPUR,Cauvery Basin,1,01-01-1997 00:00,29.86,8.45,23,243.7621694,76.6244,8.79,0.49,0.47385
HUNSUR,Cauvery Basin,1,01-01-1997 00:00,44.02,8.06,25,518.8737985,217.476,6.118498723,3.004710058,25.7823
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-1997 00:00,36.16,8.2,20,298.0552468,94.5973,9.08,2.37,1.00735
KOLLEGAL,Cauvery Basin,1,01-01-1997 00:00,33.02,8.23,23,400.5503073,162.133,7.31,2.07,19.0998
SOMVARPET,Cauvery Basin,1,01-01-1998 00:00,18.8,6.58,25,389.1361854,86.9938,9.09,-0.833969007,9.5985
HOLENARSIPUR,Cauvery Basin,1,01-01-1998 00:00,20.4,8.09,25,357.3906611,94.5375,9.09,-0.272200045,10.449
HUNSUR,Cauvery Basin,1,01-01-1998 00:00,46.8,6.98,24.5,538.9663575,231.412,5.382910325,3.223066771,27.459
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-1998 00:00,29.4,7.5,25,408.9726753,135.262,6.9,4.28,14.823
MALVALLI,Cauvery Basin,1,01-01-1998 00:00,36.2,6.58,25,770.8690549,143.656,11.17,3.7,12.7575
KOLLEGAL,Cauvery Basin,1,01-01-1998 00:00,27.4,8.06,24.5,354.522345,121.656,7.5,2.62,12.7575
SOMVARPET,Cauvery Basin,1,01-01-1999 00:00,11,8.06,24.5,185.8509316,51.2938,8,1.3,5.7105
HOLENARSIPUR,Cauvery Basin,1,01-01-1999 00:00,20.4,7.85,24.5,390.4294465,81.8812,9.6,1.3,7.4115
HUNSUR,Cauvery Basin,1,01-01-1999 00:00,42,7.94,24.5,400.3234287,179.419,6.048891787,2.5927568,17.8605
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-1999 00:00,34.6,8.22,23.5,362.7181359,156.363,6.9,2,16.767
MALVALLI,Cauvery Basin,1,01-01-1999 00:00,51.8,8.22,22.5,360.3509895,214.55,5.4,0.9,20.412
KOLLEGAL,Cauvery Basin,1,01-01-1999 00:00,31.4,8.28,25.5,325.3147574,149.881,6.5,0.5,17.1315
SOMVARPET,Cauvery Basin,1,01-01-2000 00:00,9.6,8.1,24,32.3789025,34.6313,6.952620483,0.174402823,2.5515
HOLENARSIPUR,Cauvery Basin,1,01-01-2000 00:00,18.4,7.14,23,22.31525197,68.275,5.2,0.9,5.346
HUNSUR,Cauvery Basin,1,01-01-2000 00:00,39.2,7.91,22.5,264.4213102,150.144,5.840986558,2.225059887,12.5145
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-2000 00:00,52.8,8.2,21,488.6278469,207.431,7.1,3.6,18.1035
MALVALLI,Cauvery Basin,1,01-01-2000 00:00,36.8,7.96,26,374.5456626,151.738,6.408140984,2.172382762,14.337
KOLLEGAL,Cauvery Basin,1,01-01-2000 00:00,29.2,7.72,22.5,222.4563459,128.181,6,1.9,13.2435
SOMVARPET,Cauvery Basin,1,01-01-2001 00:00,15.6,8.04,26,290.3358805,64.8187,8.2,2.7,6.1965
HOLENARSIPUR,Cauvery Basin,1,01-01-2001 00:00,21.4,8.23,22.5,147.4464662,64.6375,7.9,0.4,2.673
HUNSUR,Cauvery Basin,1,01-01-2001 00:00,36,8.21,23.5,364.9857905,173.531,6.217144319,2.327354738,20.0475
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-2001 00:00,57,8.01,20.5,641.493423,241.725,8.2,2.7,23.814
MALVALLI,Cauvery Basin,1,01-01-2001 00:00,40.8,8.22,24.5,438.0745577,205.275,6.2,0.9,24.786
KOLLEGAL,Cauvery Basin,1,01-01-2001 00:00,38.4,8.2,23,369.5361942,178.012,6.6,1,19.683
KOLLEGAL,Cauvery Basin,3,01-01-2002 00:00,72.14,8.35,24.2,764.8007204,322.142,6.8,0.6,34.03
SOMVARPET,Cauvery Basin,1,01-01-2002 00:00,9.4,8.2,21,79.47698059,39.1937,7.9,1.6,3.7665
HOLENARSIPUR,Cauvery Basin,1,01-01-2002 00:00,7.2,8.2,23,114.9247705,45.3375,7.9,0.5,6.561
HUNSUR,Cauvery Basin,1,01-01-2002 00:00,42.4,7.8,23.5,562.2443717,247.244,5.803777858,3.20708836,33.8985
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-2002 00:00,40.6,8,23,715.990795,214.9,9.7,1.6,27.216
MALVALLI,Cauvery Basin,1,01-01-2002 00:00,48.6,7.6,23.5,618.1564762,232.875,7.6,0.9,26.73
KOLLEGAL,Cauvery Basin,1,01-01-2002 00:00,30.8,7.8,22,337.4320622,130.663,8,0.5,12.879
Shaklespur,Cauvery Basin,1,01-01-2003 00:00,5.4,8.2,17,-188.79501,25.65,6.162500358,-0.084170013,2.916
SOMVARPET,Cauvery Basin,1,01-01-2003 00:00,12.6,8,21,-1.399522845,55.2938,6.403826504,0.448819689,5.7105
HOLENARSIPUR,Cauvery Basin,1,01-01-2003 00:00,5,8.2,22,135.7624477,37.8125,8.6,0.9,6.075
HUNSUR,Cauvery Basin,1,01-01-2003 00:00,24,7.9,24,338.2033257,151.631,6.433365034,1.717896487,21.9915
KRISHNARAJPET,Cauvery Basin,1,01-01-2003 00:00,10.6,7.9,22.5,15.67546048,44.725,6.609169335,0.29212736,4.374
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-2003 00:00,15.4,8.2,22,180.4893903,94.1875,7.3,0.6,13.365
MALVALLI,Cauvery Basin,1,01-01-2003 00:00,31.4,8.2,23,249.2441583,142.288,6.1,1.5,15.309
HASSAN,Cauvery Basin,1,01-01-2003 00:00,6.2,8,21.5,-54.01382302,27.65,6.646552113,-0.017553143,2.916
KOLLEGAL,Cauvery Basin,1,01-01-2003 00:00,17.4,8.2,23.5,162.3436883,103.238,6.4,0.4,14.337
KOLLEGAL,Cauvery Basin,1,01-01-2004 00:00,28.46,7.83,24,288.5171114,163.15,5.5,1.07,22.08
HOLENARSIPUR,Cauvery Basin,1,01-01-2005 00:00,17.2,7.34,22.5,-61.11187498,75.0833,4.13,0.61,7.7
KRISHNARAJPET,Cauvery Basin,1,01-01-2005 00:00,36,8.02,24,379.484947,173.531,6.181502216,2.329675715,20.0475
KOLLEGAL,Cauvery Basin,3,01-01-2008 00:00,36.87,8.74,22,590.3254117,270.425,6.852626995,0.7,42.78
Shaklespur,Cauvery Basin,1,01-01-2008 00:00,1.8,7.35,22.5,-38.53290669,20.1938,6.543783366,-0.23212659,3.7665
HOLENARSIPUR,Cauvery Basin,1,01-01-2008 00:00,12.6,7.57,25,96.81782916,55.2938,6.08,2.02,5.7105
KRISHNARAJPET,Cauvery Basin,1,01-01-2008 00:00,25,7.81,22.5,209.9463049,122.238,6.162635549,1.483375696,14.337
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-2008 00:00,22.2,8.12,24,307.8475683,154.725,6.06,1.58,23.814
RAMANAGARAM,Cauvery Basin,1,01-01-2008 00:00,65.6,7.52,19,537.0193686,327.007,3.8,2.96,39.1218
HASSAN,Cauvery Basin,1,01-01-2008 00:00,12,7.8,25,60.10115962,35.6369,6.862674683,0.271297254,1.35285
KOLLEGAL,Cauvery Basin,1,01-01-2008 00:00,36,8.21,24.5,348.7540201,169.481,6.24,0.96,19.0755
KOLLEGAL,Cauvery Basin,3,01-01-2009 00:00,46.4,8.38,19,586.3663771,306.417,6.09765071,0.8,45.7
Shaklespur,Cauvery Basin,1,01-01-2009 00:00,6.4,7.62,21,-56.00633851,32.2,6.363707814,0.027613387,3.888
HOLENARSIPUR,Cauvery Basin,1,01-01-2009 00:00,11.2,8.01,25,63.26506035,44.2,6.15,2.47,3.888
MYSORE,Cauvery Basin,1,01-01-2009 00:00,27.2,7.89,23.5,230.6888048,120.65,6.286600621,1.550193676,12.636
KRISHNARAJPET,Cauvery Basin,1,01-01-2009 00:00,27.2,7.94,23,227.6300841,124.7,6.244358142,1.58399533,13.608
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-2009 00:00,35.2,8.06,21.5,427.6005598,197.35,6.9,1.3,26.244
RAMANAGARAM,Cauvery Basin,1,01-01-2009 00:00,76.8,7.72,18,447.0378736,317.55,3.73,1.51,30.132
HASSAN,Cauvery Basin,1,01-01-2009 00:00,25.6,7.78,20,63.42150061,96.4,5.797333485,1.261950701,7.776
KOLLEGAL,Cauvery Basin,1,01-01-2009 00:00,33.6,8.24,25,428.8598994,165,7.27,1.31,19.44
KOLLEGAL,Cauvery Basin,1,01-01-2009 00:00,49.6,7.85,22,421.3737542,217.15,5.449412982,3.181393297,22.356
KOLLEGAL,Cauvery Basin,3,01-01-2010 00:00,40,8.26,24.34421038,743.5601673,302.5,6.949949226,0.6,48.6
Shaklespur,Cauvery Basin,1,01-01-2010 00:00,6.4,7.3,22,-38.44905468,28.15,6.32653759,-0.003873941,2.916
SOMVARPET,Cauvery Basin,1,01-01-2010 00:00,6.4,7.64,23,45.21565598,36.25,6.9,0.79,4.86
HOLENARSIPUR,Cauvery Basin,1,01-01-2010 00:00,8,7.57,24,69.46869333,44.3,6.5,1.38,5.832
HUNSUR,Cauvery Basin,1,01-01-2010 00:00,8,7.65,23.5,47.93481834,44.3,6.676436307,0.202773343,5.832
KRISHNARAJPET,Cauvery Basin,1,01-01-2010 00:00,24,8.09,24,153.3438948,108.6,6.01,0.1,11.664
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-2010 00:00,40,8.27,25,480.9032736,217.45,6.11,1.38,28.188
RAMANAGARAM,Cauvery Basin,1,01-01-2010 00:00,70.4,7.78,26.5,712.2221908,297.5,4.33,7.5,29.16
MALVALLI,Cauvery Basin,1,01-01-2010 00:00,36.8,8.02,23,279.9004735,168.95,5.71,0.59,18.468
HASSAN,Cauvery Basin,1,01-01-2010 00:00,19.2,7.89,19,-11.24091823,76.35,5.892893035,0.856331866,6.804
KOLLEGAL,Cauvery Basin,1,01-01-2010 00:00,33.6,8.09,23.5,306.7255322,152.85,6.3,1.57,16.524
KOLLEGAL,Cauvery Basin,1,01-01-2010 00:00,48,7.8,20.5,357.8750546,209.1,5.261081948,3.047039501,21.384
KOLLEGAL,Cauvery Basin,3,01-01-2011 00:00,41.68,8.61,23,768.7491541,326.992,6.924928615,0.7,53.47
Shaklespur,Cauvery Basin,1,01-01-2013 00:00,8,6.98,24,27.80804631,32.15,6.3,0.39,2.916
SOMVARPET,Cauvery Basin,1,01-01-2013 00:00,9.6,7.04,24,6.50982424,36.15,5.91,0.39,2.916
HOLENARSIPUR,Cauvery Basin,1,01-01-2013 00:00,12.8,7.09,25,72.69171789,56.3,5.91,0.2,5.832
KRISHNARAJPET,Cauvery Basin,1,01-01-2013 00:00,36.8,7.55,25,244.7644199,132.5,5.32,2.424272273,9.72
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-2013 00:00,40,7.89,23.5,361.9432483,193.15,5.71,0.79,22.356
RAMANAGARAM,Cauvery Basin,1,01-01-2013 00:00,83.2,7.44,23,593.2986123,337.6,2.96,3.94,31.104
MALVALLI,Cauvery Basin,1,01-01-2013 00:00,46.2,7.63,23,234.3666664,188.4,4.33,0.2,17.496
HASSAN,Cauvery Basin,1,01-01-2013 00:00,20.8,7.55,22,152.9639566,104.65,6.066351444,1.178334922,12.636
KOLLEGAL,Cauvery Basin,1,01-01-2013 00:00,43.2,7.96,18,314.5893781,168.75,7.49,0.59,14.58
KOLLEGAL,Cauvery Basin,1,01-01-2013 00:00,40,7.56,23,341.8344203,172.9,5.689873493,2.458141138,17.496
Shaklespur,Cauvery Basin,1,01-01-2014 00:00,6.4,7.27,23.5,81.10590825,28.15,7.25,1.17,2.916
SOMVARPET,Cauvery Basin,1,01-01-2014 00:00,9.6,7.53,21,-1.171188468,40.2,6.66,0.58,3.888
MYSORE,Cauvery Basin,1,01-01-2014 00:00,27.2,7.96,23,181.8643358,108.5,6.260444924,1.439459904,9.72
HUNSUR,Cauvery Basin,1,01-01-2014 00:00,38.4,7.64,20,166.1861428,140.55,5.375446668,2.099982191,10.692
KRISHNARAJPET,Cauvery Basin,1,01-01-2014 00:00,24,7.96,22,243.1023648,108.6,7.45,0.98,11.664
RAMANAGARAM,Cauvery Basin,1,01-01-2014 00:00,59.2,7.57,21,406.0739721,245.2,1.96,12.95,23.328
MALVALLI,Cauvery Basin,1,01-01-2014 00:00,27.2,7.74,25,111.6683696,112.55,4.7,0.78,10.692
HASSAN,Cauvery Basin,1,01-01-2014 00:00,25.6,7.64,22.5,158.8062393,104.5,6.059728225,1.345891482,9.72
KOLLEGAL,Cauvery Basin,1,01-01-2014 00:00,24,8.05,23,196.95567,100.5,6.86,1.18,9.72
KOLLEGAL,Cauvery Basin,1,01-01-2014 00:00,56,7.67,21,277.8527527,180.5,5.060306335,3.071779397,9.72
KOLLEGAL,Cauvery Basin,3,01-01-2015 00:00,13.61,8.95,23.5,431,236.567,7.2,-1.388544197,48.61
Shaklespur,Cauvery Basin,1,01-01-2015 00:00,8,7.33,23,0.267956054,36.2,6.04,1.16,3.888
SOMVARPET,Cauvery Basin,1,01-01-2015 00:00,12.8,7.65,21,15.60451654,52.25,6.24,1.76,4.86
HOLENARSIPUR,Cauvery Basin,1,01-01-2015 00:00,17.6,7.37,26.5,72.15931981,68.3,5.07,0.97,5.832
MYSORE,Cauvery Basin,1,01-01-2015 00:00,25.6,7.79,22.5,158.8073518,104.5,6.1417981,1.345903954,9.72
HUNSUR,Cauvery Basin,1,01-01-2015 00:00,38.4,7.77,23.5,427.8717055,197.25,5.906760928,2.622230241,24.3
KRISHNARAJPET,Cauvery Basin,1,01-01-2015 00:00,28.8,7.96,24,290.6143584,132.75,6.63,1.37,14.58
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-2015 00:00,25.6,7.86,23.5,188.6183544,108.55,6.04,1.94,10.692
RAMANAGARAM,Cauvery Basin,1,01-01-2015 00:00,91.2,7.8,24,818.3773119,369.75,2.73,12.3,34.02
MALVALLI,Cauvery Basin,1,01-01-2015 00:00,48,7.99,25,349.1987509,192.9,5.07,1.56,17.496
HASSAN,Cauvery Basin,1,01-01-2015 00:00,22.4,7.6,24,185.1973253,96.5,6.328139681,1.170488404,9.72
KOLLEGAL,Cauvery Basin,1,01-01-2015 00:00,40,7.91,26,430.0451851,185.05,6.24,0.98,20.412
KOLLEGAL,Cauvery Basin,1,01-01-2015 00:00,44.8,7.73,23,413.2670496,201.1,5.649705572,2.87630748,21.384
Shaklespur,Cauvery Basin,1,01-01-2016 00:00,9.6,7.4,23,63,36.15,6.459371419,2.56,2.916
SOMVARPET,Cauvery Basin,1,01-01-2016 00:00,9.6,7.82,23,55,44.25,7.09,0.79,4.86
HOLENARSIPUR,Cauvery Basin,1,01-01-2016 00:00,17.6,6.87,26,80,64.25,2.96,1.05,4.86
MYSORE,Cauvery Basin,1,01-01-2016 00:00,30.4,7.95,24.5,116,100.3,5.43286204,1.559493692,5.832
HUNSUR,Cauvery Basin,1,01-01-2016 00:00,43.2,7.77,25.5,303,237.6,2.656359317,3.428135761,31.104
KRISHNARAJPET,Cauvery Basin,1,01-01-2016 00:00,41.6,8.05,23,184,164.75,7.68,0.59,14.58
