,station_name,district_name,block_name,basin_name,sub_basin_name,basin_id,date_collection,PH.1,TEMPERATURE,TOTAL DISSOLVED SOLIDS(mg/L),TOTAL HARDNESS(mg/L),DISSOLVED OXYGEN(mg/L),BIOCHEMICAL OXYGEN DEMAND(mg/L)
7455,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-1982 00:00,8.11,21,263.1255029,233.262,7.8,3.018340034
7917,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-1982 00:00,8.1,24,510,245.9318533,5.595127965,3.985158271
8597,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-1982 00:00,7.88,25.5,414.680254,197.607,6.084669467,2.954539574
5046,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-1983 00:00,8.3,25,422.3912736,209.569,6.358347951,3.188043188
5825,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-1983 00:00,7.18,24.5,140.1575205,84.9875,6.403415111,1.053613875
6999,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-1983 00:00,7.92,25,156.2547858,43.2125,5.5,1.6
7894,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-1983 00:00,8,24.1719084,141,99.1667,7.121549858,1.266970086
8855,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-1983 00:00,7.34,22,122,70.3625,5.71,2.86
7862,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-1984 00:00,7.1,26,76,39.68132617,6.668170629,0.125733461
8572,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-1984 00:00,7.9,27.03401885,298,100.833,6.003782989,1.298047569
4790,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-1985 00:00,7.4,29,480,162.4943591,5.292792215,2.210888228
5908,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-1985 00:00,7.78,25.5,225.4786607,108.5,6.524193402,1.409279636
6473,K.M. VADI,Mysore,HUNSUR,Cauvery Basin,Cauvery Upper,1,01-01-1985 00:00,8.4,25.00119189,495.8504346,244.167,6.227823619,3.787985426
7057,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-1985 00:00,7.6,21,-1.176737433,60.325,6.8,0.6
7777,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-1985 00:00,8.67,25,371.2983517,204.25,7.32,2.603626252
8551,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-1985 00:00,7.97,26.9253753,287,98.4446,6.103779781,1.25619266
4808,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-1986 00:00,8.7,32.68412138,958,265.57,3.439214278,4.183884578
7347,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-1986 00:00,8.28,25,156.1969206,137.6441403,8.3,2.6
8155,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-1986 00:00,8.02,27.61235368,307,90.688,5.93449366,1.120959209
8819,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-1986 00:00,8.02,20,32.37789232,100.501,7.12,1.853345594
5021,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-1987 00:00,7.39,22,159.5140205,135.769,6.593449842,2.06449923
6011,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-1987 00:00,7.68,25.7251637,320,143.333,6.072289214,2.040676479
7462,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-1987 00:00,8.53,25,657.4918821,320.292,5.880989159,5.108163227
8138,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-1987 00:00,7.7,25.05197118,40,30.8333,7.032032304,0.072090791
8540,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-1987 00:00,8.47,24.49048168,84,65,7.524346701,0.66946928
6022,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-1988 00:00,7.57,24,138.2612583,92.425,6.683198366,1.208654472
7474,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-1988 00:00,7.96,16,226.9997085,269.838,7.06,4.735378235
8128,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-1988 00:00,6.5,24.57877321,109,73.461896,6.13860549,0.813154108
8531,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-1988 00:00,8.24,26.2126702,310,126.667,6.362973166,1.749459582
5210,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-1989 00:00,7.69,24,70.68933095,60.6,6.941472486,0.656762634
6031,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-1989 00:00,8.87,25.21055988,225.81539,113.631,7.247657439,1.512753488
7486,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-1989 00:00,8.13,24,404.6620224,217.887,6.337050261,3.384383333
8116,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-1989 00:00,7.7,23,192,129.8902011,6.580622898,1.9217454
8797,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-1989 00:00,7.98,24,215.9754624,125.624,6.63,1.886656175
4863,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-1990 00:00,8.42,24.5,375.284444,200.08,6.72,2.933332664
5963,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-1990 00:00,7.6,27,300,117.2137014,6.118032826,1.487532208
6297,K.M. VADI,Mysore,HUNSUR,Cauvery Basin,Cauvery Upper,1,01-01-1990 00:00,8.33,28,539.6144229,226.408,5.8,5.6
7190,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-1990 00:00,8.15,26,-11.86028132,32.15,8.36,0.77
8214,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-1990 00:00,8.2,26,128,60.97786257,7.178974329,0.513778603
8686,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-1990 00:00,8.16,24.9997204,497.7480536,245.086,6.066671274,3.803995342
4973,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-1991 00:00,7.1,24.57401178,108,73.11080717,6.532757862,0.807032331
5976,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-1991 00:00,7.7,25.33401896,66.58086751,36.6667,6.907576378,0.171221939
7140,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-1991 00:00,8.548169142,25.19970897,241.1123543,120.9825448,6.997433575,1.640552548
8203,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-1991 00:00,7.2,26.5,280.8966648,117.8882508,5.956483539,1.51938543
8954,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-1991 00:00,8.31,23,448.1149247,256.114,6.788132385,2.3
5222,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-1992 00:00,7.27,24.5,373.760162,195.006,5.838972844,2.961512011
5988,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-1992 00:00,8.1,23.66259231,183,131.126,7.172780452,1.825743863
6307,K.M. VADI,Mysore,HUNSUR,Cauvery Basin,Cauvery Upper,1,01-01-1992 00:00,8.4,24,839,248.124,8.19,1.64
7128,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-1992 00:00,7.97,26.1763576,543.3448059,251.583,6.602473411,0.4
8191,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-1992 00:00,7.5,26,400,172.4112611,5.652060188,2.544010256
8680,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-1992 00:00,8.33,17,299.8170966,277.702,7.74,0.2
5074,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-1993 00:00,7.46,24,56.32711183,53.8375,6.83014617,0.539482356
5884,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-1993 00:00,8,26,349.7762233,120.833,5.5,0.8
6315,K.M. VADI,Mysore,HUNSUR,Cauvery Basin,Cauvery Upper,1,01-01-1993 00:00,7.84,23,-32.76056093,49.9188,7.9,0.5
7116,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-1993 00:00,8.41,23,398,127.691,6.8,0.97
8178,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-1993 00:00,8.6,24.5,64,56.10234122,7.680859152,0.501181117
8948,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-1993 00:00,8.42,24.42659422,483.9779361,286.549,7.5,3.533441069
4873,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-1994 00:00,6.4,28.5,454.4188373,166.333,4.889815761,2.255852706
6126,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-1994 00:00,8.5,29,256,126.833,6.6,0.8
6325,K.M. VADI,Mysore,HUNSUR,Cauvery Basin,Cauvery Upper,1,01-01-1994 00:00,7.81,25,2.832429582,11.9741,7.158491075,-0.238582051
7105,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-1994 00:00,8.73,28,506.9634002,221.626,7.28,1.2
8168,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-1994 00:00,7.84,26.81616748,316,114.52,5.958734124,1.537346697
5068,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-1995 00:00,8.11,29,269.8586977,63.3438,6.02,1.77
6138,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-1995 00:00,7.6,24.8,338,164.0876698,5.952983044,2.453337677
6332,K.M. VADI,Mysore,HUNSUR,Cauvery Basin,Cauvery Upper,1,01-01-1995 00:00,7.6,25.5,55.98424918,28.675,6.859115648,0.024981564
7091,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-1995 00:00,8.09,26.14864782,232,92.276,6.503179473,1.147756071
8075,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-1995 00:00,7.2,26.5,280.8966648,117.8882508,5.956483539,1.51938543
8663,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-1995 00:00,8.3,24.99132706,508.5736376,250.318,6.12912287,3.895194169
5084,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-1996 00:00,8.03,24,575.506817,310.845,6.9,1.2
6151,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-1996 00:00,7,27,296.1351486,116.7053826,5.764161028,1.472954038
6337,K.M. VADI,Mysore,HUNSUR,Cauvery Basin,Cauvery Upper,1,01-01-1996 00:00,7.35652933,26.25,153.0675431,62.4,6.43,0.549603459
7079,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-1996 00:00,7.47,24,40,29.167,6.356545538,1
8063,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-1996 00:00,6.5,25.8,259.5475232,119.5439667,5.588225361,1.584352012
8651,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-1996 00:00,8.36,26,490.8883482,245.677,7.32,0.7
4992,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-1997 00:00,8.76,38.6745295,900,90.7505,2.38686612,1.129535517
6163,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-1997 00:00,8.4,25.1448527,310.5617155,154.6,6.717794276,2.226828703
6343,K.M. VADI,Mysore,HUNSUR,Cauvery Basin,Cauvery Upper,1,01-01-1997 00:00,8.16,23.5,321.8109321,187.2,6.598529604,2.878272472
7405,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-1997 00:00,8.12,31,555.7060095,172.357,5.633618215,2.230130291
8920,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-1997 00:00,8.42,20,156.4938586,171.407,7.95,0.2
4887,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-1998 00:00,8.42,28,494.1982801,224.789,7.4,1
6175,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-1998 00:00,8.21,22.43481295,178,159.167,7.516601478,2.315484659
6351,K.M. VADI,Mysore,HUNSUR,Cauvery Basin,Cauvery Upper,1,01-01-1998 00:00,7.6,23,120.1252242,100.55,6.793097506,1.401654488
7394,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-1998 00:00,8.78,25,374.9679074,199.599,7.32,2
7988,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-1998 00:00,7.8,37.96311902,796,60.3755,2.210871709,0.597626597
8648,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-1998 00:00,8.32,22.5,311.6646765,199.087,6.771693669,3.136515945
4899,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-1999 00:00,7.81,27.5,216.4066582,70.8938,6.483873186,0.652932323
6189,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-1999 00:00,7.12,27.5,488.534646,199.062,5.309251303,2.875548504
6359,K.M. VADI,Mysore,HUNSUR,Cauvery Basin,Cauvery Upper,1,01-01-1999 00:00,7.46,25.5,348,122.256,7.32,1.84
7382,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-1999 00:00,8.41,24,388.7055582,214.726,7.340098468,0.1
7977,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-1999 00:00,8.4,25.68251843,310,139.77,6.578414412,1.97833869
8637,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-1999 00:00,8.1,23.5,332.3053503,208.699,7.04,2.831806073
5230,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-2000 00:00,6.74,20.5,-140.3448582,19.55,7.033299969,0.127203511
5941,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-2000 00:00,8.11,27,296.1524377,116.705722,6.486238335,1.472996361
6282,K.M. VADI,Mysore,HUNSUR,Cauvery Basin,Cauvery Upper,1,01-01-2000 00:00,7.88,24.5,147.6261227,88.5,6.838889111,1.114549976
7191,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-2000 00:00,7.69,25.5,106.1483535,52.3,6.783883869,0.434679548
8249,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-2000 00:00,7.3,25.8,259.5599838,119.5442113,6.108641437,1.584382515
8985,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-2000 00:00,8,26,382.0393151,173.9,6.228778703,2.517377403
4816,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-2001 00:00,8.04,25.30327314,106.2361294,55.8333,7.023903796,0.505308365
5836,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-2001 00:00,7.86,25,262.5411803,134.288,6.498404278,1.882536439
6454,K.M. VADI,Mysore,HUNSUR,Cauvery Basin,Cauvery Upper,1,01-01-2001 00:00,7.75,18.5,-164.3936955,41.55,7.838532154,0.612949932
7498,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-2001 00:00,7.93,26,382.9300431,174.32,6.180864035,2.52465849
8105,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-2001 00:00,8.04,21.4328902,488,326.909,6.724822305,5.249375565
8523,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-2001 00:00,8.16,32.70167424,562,82.5,4.223199704,0.981149689
1980,KUDLUR,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,3,01-01-2002 00:00,7.5,26.96330741,240,75.8333,5.925229149,0.860627829
5183,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-2002 00:00,8.08,27.45406699,200,45.2504,6.314527235,0.325943785
6051,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-2002 00:00,7.98,26.5,337.3465916,144.518,6.313950341,1.981796985
6446,K.M. VADI,Mysore,HUNSUR,Cauvery Basin,Cauvery Upper,1,01-01-2002 00:00,8.37,31.17518639,686,177.42,4.323786389,2.640710959
7017,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-2002 00:00,7.75,33,652.0695638,168.401,5,0.4
7878,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-2002 00:00,7.2,22.5,158.9638729,127.3507075,6.454231472,1.890775556
8833,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-2002 00:00,8.22,26,191.1958156,95.562,7.24,0.85757974
4579,SAKLESHPUR,Hassan,Shaklespur,Cauvery Basin,Cauvery Upper,1,01-01-2003 00:00,7.91,21.5,136.319923,133.175,7.01460488,2.045582143
5115,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-2003 00:00,8.22,26,251.7787284,112.55,6.719292604,1.45347869
6060,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-2003 00:00,7,27.5,191.6581191,59.2438,6.022921294,0.450875344
6477,K.M. VADI,Mysore,HUNSUR,Cauvery Basin,Cauvery Upper,1,01-01-2003 00:00,7.61,25.5,46.27034367,24.1,6.891527169,-0.054355844
6658,AKKIHEBBAL,Mandya,KRISHNARAJPET,Cauvery Basin,Cauvery Upper,1,01-01-2003 00:00,7.55,32.62275069,968,271.707,2.675193644,4.291168854
7508,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-2003 00:00,8.39,26.5,511.7414059,246.53,6.75,3.200833535
8097,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-2003 00:00,8,25.47084577,207,97.5,6.65889669,1.238687655
8332,THIMMANAHALLI,Hassan,HASSAN,Cauvery Basin,Cauvery Upper,1,01-01-2003 00:00,6.9,26.3,176,76.38008248,6.146212247,0.779113947
8512,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-2003 00:00,7.92,27.04832122,320,110.626,5.950513771,1.469382083
8973,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-2004 00:00,8.14,22,386.2375848,242.543,6.476722867,3.916155023
5957,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-2005 00:00,7.4,25.5,250.416582,120.2539261,6.211024542,1.612240587
6543,AKKIHEBBAL,Mandya,KRISHNARAJPET,Cauvery Basin,Cauvery Upper,1,01-01-2005 00:00,8.2,18,187.7385981,219.151,7.28,3.707296873
2038,KUDLUR,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,3,01-01-2008 00:00,8.13,24.5,100.8356043,59.3438,6.92,0.69
4730,SAKLESHPUR,Hassan,Shaklespur,Cauvery Basin,Cauvery Upper,1,01-01-2008 00:00,8.08,28,254.5857357,78.9125,6.22,2.18
6081,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-2008 00:00,8.32,25,314.3675081,204.787,8.09,1.908721202
6565,AKKIHEBBAL,Mandya,KRISHNARAJPET,Cauvery Basin,Cauvery Upper,1,01-01-2008 00:00,7.8,24,-152.7814389,52.6,10.6,-1.952997987
7205,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-2008 00:00,8.11,24.5,318.6606732,169.05,6.532387479,2.511422395
7710,T. BEKKUPE,Bangalore Rural,RAMANAGARAM,Cauvery Basin,Cauvery Middle,1,01-01-2008 00:00,8,24.29879106,399.9939112,255.799,7.66,2.839826667
8408,THIMMANAHALLI,Hassan,HASSAN,Cauvery Basin,Cauvery Upper,1,01-01-2008 00:00,8.3,27.33079152,526,198.651,5.545901149,3.009543668
8502,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-2008 00:00,8.2,24.6747918,139,85.8128,7.151791419,1.033695245
2016,KUDLUR,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,3,01-01-2009 00:00,8.1,23.5,91.52595992,78.7438,7.173640808,0.997468113
4667,SAKLESHPUR,Hassan,Shaklespur,Cauvery Basin,Cauvery Upper,1,01-01-2009 00:00,8.03,26.4142944,448,185.332,5.787090223,2.775906722
6087,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-2009 00:00,7.95,24,117.9233062,82.8438,6.984650227,1.042514198
6205,CHUNCHUNAKATTE,Mysore,MYSORE,Cauvery Basin,Cauvery Upper,1,01-01-2009 00:00,7.13,27,177.0978187,60.7188,6.167332573,0.50250791
6523,AKKIHEBBAL,Mandya,KRISHNARAJPET,Cauvery Basin,Cauvery Upper,1,01-01-2009 00:00,7.36,27.5,87.60865813,41.6625,7.2,0.89
7216,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-2009 00:00,8.26,22.5,410,131.491,6.8,1.56
7611,T. BEKKUPE,Bangalore Rural,RAMANAGARAM,Cauvery Basin,Cauvery Middle,1,01-01-2009 00:00,8.32,25,669.8632334,340.661,6.18,5.050090613
8357,THIMMANAHALLI,Hassan,HASSAN,Cauvery Basin,Cauvery Upper,1,01-01-2009 00:00,7.9,31.96725338,600,118.181,4.09901218,1.604869159
8491,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-2009 00:00,7,26.5,280.8935496,117.8881897,5.82637952,1.519377804
10247,Bendrahalli,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-2009 00:00,8.548169142,25.19970897,241.1123543,120.9825448,6.997433575,1.640552548
2030,KUDLUR,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,3,01-01-2010 00:00,7.9,28.5,355.7114566,200.05,8.6,0.89
4678,SAKLESHPUR,Hassan,Shaklespur,Cauvery Basin,Cauvery Upper,1,01-01-2010 00:00,8.55,30.77859965,580,138.333,4.829063055,1.956639822
